result,period,elapsed,x
0,1,11.266666666666667,-0.2652777777777777
1,1,10.583333333333334,-0.27951388888888884
1,1,8.933333333333334,-0.3138888888888889
1,1,5.9,-0.3770833333333333
1,1,3.3,-0.43125
1,1,2.316666666666667,-0.4517361111111111
1,1,0.6666666666666666,-0.4861111111111111
1,1,0.11666666666666667,-0.49756944444444445
0,2,19.583333333333332,-0.0920138888888889
0,2,19.416666666666668,-0.0954861111111111
1,2,18.366666666666667,-0.11736111111111108
1,2,14.6,-0.19583333333333336
1,2,14.183333333333334,-0.20451388888888888
0,2,13.2,-0.22500000000000003
1,2,12.483333333333333,-0.2399305555555556
0,2,12.066666666666666,-0.24861111111111112
0,3,31.916666666666668,0.16493055555555558
0,3,29.5,0.11458333333333337
0,3,26.15,0.044791666666666674
0,3,24.85,0.017708333333333326
0,1,11.45,-0.26145833333333335
1,1,10.483333333333333,-0.2815972222222223
0,1,9.1,-0.3104166666666667
1,1,8.683333333333334,-0.31909722222222225
0,1,7.566666666666666,-0.3423611111111111
1,1,5.45,-0.38645833333333335
1,1,3.4,-0.4291666666666667
1,2,19.8,-0.08749999999999997
1,2,15.666666666666666,-0.1736111111111111
0,2,14.216666666666667,-0.20381944444444444
0,2,13.4,-0.22083333333333333
0,2,12.233333333333333,-0.2451388888888889
1,3,34.016666666666666,0.20868055555555554
0,3,33.05,0.1885416666666666
1,3,31.71666666666667,0.16076388888888893
0,3,29.933333333333334,0.12361111111111112
1,3,28.483333333333334,0.09340277777777783
1,3,27,0.0625
1,3,26.55,0.05312499999999998
1,3,25.3,0.027083333333333348
0,3,24.533333333333335,0.011111111111111183
0,3,24.016666666666666,3.472222222221655e-4
0,4,43.18333333333334,0.39965277777777786
0,4,40.583333333333336,0.34548611111111116
1,4,40.53333333333333,0.34444444444444444
0,4,40.06666666666666,0.33472222222222214
0,4,37.766666666666666,0.28680555555555554
0,1,10.516666666666667,-0.2809027777777777
1,1,10.1,-0.2895833333333333
1,1,9.133333333333333,-0.30972222222222223
1,1,7.4,-0.3458333333333333
1,1,6.616666666666666,-0.36215277777777777
1,1,6.166666666666667,-0.3715277777777778
0,1,5.216666666666667,-0.39131944444444444
1,1,5.016666666666667,-0.3954861111111111
0,1,4.1,-0.41458333333333336
1,1,3.1333333333333333,-0.43472222222222223
1,1,2.2333333333333334,-0.4534722222222222
0,1,1.5833333333333333,-0.4670138888888889
1,1,0.75,-0.484375
0,1,0.55,-0.48854166666666665
0,2,19.633333333333333,-0.09097222222222223
0,2,19.46666666666667,-0.09444444444444439
1,2,18.383333333333333,-0.11701388888888892
0,2,15.433333333333334,-0.1784722222222222
1,2,13.366666666666667,-0.22152777777777777
1,2,12.583333333333334,-0.2378472222222222
0,2,12.066666666666666,-0.24861111111111112
1,3,34.28333333333333,0.21423611111111107
1,3,32.56666666666666,0.17847222222222214
0,3,31.65,0.15937499999999993
0,3,30.46666666666667,0.1347222222222223
0,3,30.366666666666667,0.13263888888888886
0,3,29.25,0.109375
0,3,28.6,0.09583333333333333
0,3,27,0.0625
0,3,25.116666666666667,0.023263888888888862
0,4,45.13333333333333,0.44027777777777777
1,4,44.983333333333334,0.43715277777777783
1,4,44.28333333333333,0.42256944444444444
1,4,43.93333333333334,0.41527777777777786
0,4,43.31666666666666,0.4024305555555555
0,4,41.666666666666664,0.36805555555555547
1,4,40.25,0.33854166666666663
1,4,39.81666666666667,0.329513888888889
1,4,39.25,0.31770833333333337
0,4,38.65,0.3052083333333333
0,4,38.1,0.29375000000000007
1,4,37.35,0.27812500000000007
0,4,36.75,0.265625
0,1,11.216666666666667,-0.26631944444444444
1,1,9.9,-0.29374999999999996
1,1,7.083333333333333,-0.3524305555555556
1,1,4.683333333333334,-0.40243055555555557
1,1,1.3,-0.47291666666666665
1,1,0.9166666666666666,-0.4809027777777778
0,2,19.5,-0.09375
0,2,16.766666666666666,-0.15069444444444446
0,2,13.6,-0.21666666666666667
0,2,13.183333333333334,-0.2253472222222222
0,2,12.483333333333333,-0.2399305555555556
1,3,34.53333333333333,0.21944444444444444
1,3,32.833333333333336,0.1840277777777778
0,3,28.833333333333332,0.10069444444444442
0,3,28.03333333333333,0.0840277777777777
1,3,25.616666666666667,0.0336805555555556
1,3,24.9,0.018749999999999933
1,4,40.46666666666667,0.34305555555555556
1,4,39.46666666666667,0.3222222222222223
0,1,9.216666666666667,-0.30798611111111107
1,1,7.583333333333333,-0.3420138888888889
0,1,5.8,-0.37916666666666665
0,1,4.333333333333333,-0.4097222222222222
0,1,4.233333333333333,-0.41180555555555554
0,1,2.783333333333333,-0.4420138888888889
1,2,20.3,-0.07708333333333334
1,2,18.316666666666666,-0.1184027777777778
0,2,17.083333333333332,-0.14409722222222227
0,2,16.083333333333332,-0.16493055555555558
1,2,15.766666666666666,-0.17152777777777778
1,2,14.733333333333334,-0.19305555555555554
1,2,12.566666666666666,-0.23819444444444443
1,3,32.61666666666667,0.17951388888888886
0,3,32.233333333333334,0.17152777777777783
1,1,10.6,-0.2791666666666667
1,1,8.933333333333334,-0.3138888888888889
1,1,7.816666666666666,-0.33715277777777775
1,1,7.45,-0.34479166666666666
0,1,1.7666666666666666,-0.46319444444444446
0,1,0.5666666666666667,-0.48819444444444443
0,2,17.583333333333332,-0.13368055555555558
1,2,17.28333333333333,-0.1399305555555556
1,2,16.916666666666668,-0.14756944444444442
1,2,15.633333333333333,-0.17430555555555555
0,2,12.033333333333333,-0.24930555555555556
0,3,34.46666666666667,0.21805555555555556
1,3,34.03333333333333,0.2090277777777777
